Epoch,loss_D_fake,loss_D_real,loss_D,loss_G_GAN,loss_G_L1,loss_G
1,0.33451110326498745,0.3421880391165614,0.33834956981241704,0.5089848780930042,7.589398187637329,8.098383066177368
2,0.20388282082602383,0.20987129229307175,0.20687705627828837,0.5397163779437542,7.498240431785583,8.037956818580627
3,0.19229596184566616,0.2003758451156318,0.1963359035924077,0.5690473683476448,7.345954194068908,7.9150015735626225
4,0.2012495523802936,0.2013829217478633,0.2013162369802594,0.541044356353581,7.124368027687073,7.6654123878479
5,0.2020813926104456,0.20364290024340154,0.2028621466755867,0.5317535955309868,6.97692102432251,7.508674609184265
6,0.20005475839413703,0.20498457866534592,0.20251966875046493,0.5128758784979582,6.7724257164001465,7.285301586151123
7,0.19767161722667514,0.20768746725842357,0.20267954228818416,0.4953581728041172,6.597615197181701,7.09297336769104
8,0.2033169075027108,0.20537643626332283,0.2043466719314456,0.4882455455362797,6.446822017669677,6.935067555427551
9,0.19829856896586717,0.20729617524705826,0.2027973722666502,0.47918790179491044,6.299477801322937,6.778665699958801
10,0.20961693845316767,0.2168513112924993,0.21323412480950354,0.4750183890759945,6.1590205059051515,6.6340388879776
11,0.20028404047712683,0.20818121913820506,0.20423262998461722,0.45272016605734827,6.056858317375183,6.509578482627869
12,0.2062623484041542,0.20916350227035582,0.20771292601525784,0.45233290472626686,5.943211369514465,6.395544265747071
13,0.20263990023359657,0.21287262319400907,0.207756261870265,0.4371496977955103,5.839702603340149,6.276852294921875
14,0.2072065097205341,0.2123979943972081,0.2098022523969412,0.4328762349039316,5.743095602035522,6.175971820831299
15,0.20705881289951503,0.21263787932880224,0.20984834609925748,0.42362809820473196,5.648792496681214,6.072420595169067
16,0.2075174467470497,0.21595377366431057,0.2117356101348996,0.4186983241736889,5.546800594329834,5.965498914718628
17,0.20755378486774861,0.21445759937167166,0.2110056924968958,0.41183461217582223,5.440640134334564,5.852474753379822
18,0.2080773548129946,0.21746661021746694,0.2127719822973013,0.4095041597634554,5.364336012840271,5.77384017944336
19,0.20791066740453243,0.2143560737632215,0.2111333708614111,0.40536558264493944,5.295526344299317,5.700891928672791
20,0.210183517286554,0.21615962185151874,0.21317156979441643,0.40123630468547344,5.188721141338348,5.58995743227005
21,0.2103277297541499,0.21936257182806732,0.2148451508283615,0.39913094663619997,5.122040714263916,5.52117166519165
22,0.21144076639041304,0.21695764914527535,0.21419920770823955,0.3955850499868393,5.074442440509796,5.470027488231659
23,0.2095612897053361,0.21657787465676664,0.21306958189606667,0.387684994995594,5.003591698169708,5.391276695251465
24,0.20932795704342425,0.21696345193125308,0.21314570465683938,0.3859351914525032,4.906880822658539,5.292816014289856
25,0.2122868255181238,0.2195519976913929,0.2159194115847349,0.3839224751591682,4.8396347799301145,5.223557256698609
26,0.21216101298108697,0.2174966946132481,0.2148288539648056,0.3809503483772278,4.761436621189118,5.142386961460113
27,0.21116559122502804,0.21856839446909726,0.21486699219048022,0.37842287713289263,4.70264310836792,5.081065992355347
28,0.2105875444766134,0.21932576967403292,0.21495665706694125,0.3764711156785488,4.65376558971405,5.030236702919006
29,0.2156143702492118,0.22163221757113932,0.21862329387664794,0.3816837416887283,4.587521732330322,4.9692054772377015
30,0.210225892085582,0.21645916465111076,0.21334252828359604,0.373222387522459,4.5400762395858765,4.913298623561859
